,0
626,4.8457193
627,5.743584
628,6.5983214
629,7.600674
630,6.1340013
631,5.6723714
632,7.178469
633,9.049617
634,12.674499
635,9.754714
636,12.088646
637,9.2087145
638,16.426367
639,12.2666025
640,12.373538
641,11.951327
642,11.16542
643,8.583959
644,7.9205613
645,8.109262
646,8.470193
647,6.90822
648,6.7008533
649,5.9275312
650,4.7993493
651,7.4540496
652,9.750522
653,9.560493
654,8.492908
655,8.284911
656,8.281203
657,7.873986
658,7.6886873
659,14.169187
660,15.92786
661,15.454229
662,10.276973
663,10.021211
664,8.265442
665,8.388928
666,8.516095
667,10.093262
668,8.610403
669,12.676165
670,7.6340566
671,6.2425733
672,6.482028
673,7.662345
674,10.856089
675,11.141393
676,10.219236
677,8.621723
678,8.116697
679,8.565161
680,12.080423
681,13.1181755
682,12.601584
683,10.472018
684,7.7521405
685,8.769768
686,10.45033
687,15.371798
688,12.814669
689,9.420802
690,7.414525
691,6.0654826
692,6.352223
693,7.535377
694,7.060651
695,6.222626
696,5.667697
697,5.75322
698,6.220162
699,6.5202446
