trade-date,index,,index2
20110621,9.61E-05,9.61E+00,9.61
20110622,0.000122291,1.22E+01,12.2291
20110623,0.000374116,3.74E+01,37.4116
20110624,0.000181483,1.81E+01,18.1483
20110627,0.00015357,1.54E+01,15.357
20110628,0.000154599,1.55E+01,15.4599
20110629,0.000175888,1.76E+01,17.5888
20110630,0.000135544,1.36E+01,13.5544
20110701,0.000125978,1.26E+01,12.5978
20110704,2.70E-05,2.70E+00,2.7
20110705,0.000101598,1.02E+01,10.1598
20110706,0.00012691,1.27E+01,12.691
20110707,0.000113016,1.13E+01,11.3016
20110708,0.000295276,2.95E+01,29.5276
20110711,0.000146533,1.47E+01,14.6533
20110712,0.000135563,1.36E+01,13.5563
20110713,9.81E-05,9.81E+00,9.81
20110714,0.000125484,1.25E+01,12.5484
20110715,0.00010529,1.05E+01,10.529
20110718,9.50E-05,9.50E+00,9.5
20110719,0.000118077,1.18E+01,11.8077
20110720,7.60E-05,7.60E+00,7.6
20110721,0.000144157,1.44E+01,14.4157
20110722,5.24E-05,5.24E+00,5.24
20110725,9.32E-05,9.32E+00,9.32
20110726,0.000101411,1.01E+01,10.1411
20110727,6.84E-05,6.84E+00,6.84
20110728,0.000115837,1.16E+01,11.5837
20110729,0.000155795,1.56E+01,15.5795
20110801,0.000165758,1.66E+01,16.5758
20110802,0.000105341,1.05E+01,10.5341
20110803,0.000138935,1.39E+01,13.8935
20110804,0.000199444,1.99E+01,19.9444
20110805,0.001767971,1.77E+02,176.7971
20110808,0.00039388,3.94E+01,39.388
20110809,0.001188481,1.19E+02,118.8481
20110810,0.000456723,4.57E+01,45.6723
20110811,0.000801282,8.01E+01,80.1282
20110812,0.000349696,3.50E+01,34.9696
20110815,0.000233043,2.33E+01,23.3043
20110816,0.000161528,1.62E+01,16.1528
20110817,0.000137677,1.38E+01,13.7677
20110818,0.000251147,2.51E+01,25.1147
20110819,0.000835646,8.36E+01,83.5646
20110822,0.0002187,2.19E+01,21.87
20110823,0.000305605,3.06E+01,30.5605
20110824,0.00016701,1.67E+01,16.701
20110825,0.000199076,1.99E+01,19.9076
20110826,0.000203308,2.03E+01,20.3308
20110829,0.000124632,1.25E+01,12.4632
20110830,0.000138071,1.38E+01,13.8071
20110831,0.000194484,1.94E+01,19.4484
20110901,0.000109975,1.10E+01,10.9975
20110902,0.000268851,2.69E+01,26.8851
20110905,8.38E-05,8.38E+00,8.38
20110906,0.000254674,2.55E+01,25.4674
20110907,0.00020474,2.05E+01,20.474
20110908,0.000200916,2.01E+01,20.0916
20110909,0.000276354,2.76E+01,27.6354
20110912,0.000210437,2.10E+01,21.0437
20110913,0.000245841,2.46E+01,24.5841
20110914,0.000109677,1.10E+01,10.9677
20110915,0.000208115,2.08E+01,20.8115
20110916,0.000140033,1.40E+01,14.0033
20110919,0.000139678,1.40E+01,13.9678
20110920,0.00016112,1.61E+01,16.112
20110921,0.000142986,1.43E+01,14.2986
20110922,0.000417024,4.17E+01,41.7024
20110923,0.000850053,8.50E+01,85.0053
20110926,0.000436436,4.36E+01,43.6436
20110927,0.000254965,2.55E+01,25.4965
20110928,0.000206712,2.07E+01,20.6712
20110929,0.000384222,3.84E+01,38.4222
20110930,0.000315638,3.16E+01,31.5638
20111003,0.000342186,3.42E+01,34.2186
20111004,0.000276409,2.76E+01,27.6409
20111005,0.000244409,2.44E+01,24.4409
20111006,0.000468987,4.69E+01,46.8987
20111007,0.000336055,3.36E+01,33.6055
20111010,0.000128127,1.28E+01,12.8127
20111011,0.000195327,1.95E+01,19.5327
20111012,0.000145639,1.46E+01,14.5639
20111013,0.000203726,2.04E+01,20.3726
20111014,0.000184602,1.85E+01,18.4602
20111017,0.00015923,1.59E+01,15.923
20111018,0.000147659,1.48E+01,14.7659
20111019,0.000114682,1.15E+01,11.4682
20111020,0.000330821,3.31E+01,33.0821
20111021,0.000182297,1.82E+01,18.2297
20111024,0.000129729,1.30E+01,12.9729
20111025,0.000272178,2.72E+01,27.2178
20111026,0.000193749,1.94E+01,19.3749
20111027,0.000160851,1.61E+01,16.0851
20111028,0.00014718,1.47E+01,14.718
20111031,0.000149797,1.50E+01,14.9797
20111101,0.000301415,3.01E+01,30.1415
20111102,0.00020208,2.02E+01,20.208
20111103,0.000260058,2.60E+01,26.0058
20111104,0.000205862,2.06E+01,20.5862
20111107,0.000201074,2.01E+01,20.1074
20111108,6.93E-05,6.93E+00,6.93
20111109,0.000198379,1.98E+01,19.8379
20111110,0.000223924,2.24E+01,22.3924
20111111,0.000108562,1.09E+01,10.8562
20111114,0.00015867,1.59E+01,15.867
20111115,9.85E-05,9.85E+00,9.85
20111116,0.000195086,1.95E+01,19.5086
20111117,0.000189544,1.90E+01,18.9544
20111118,0.000164548,1.65E+01,16.4548
20111121,0.000128846,1.29E+01,12.8846
20111122,0.000113892,1.14E+01,11.3892
20111123,0.0002243,2.24E+01,22.43
20111124,4.82E-05,4.82E+00,4.82
20111125,0.0001376,1.38E+01,13.76
20111128,0.000109109,1.09E+01,10.9109
20111129,0.00019252,1.93E+01,19.252
20111130,0.00038188,3.82E+01,38.188
20111201,0.000113588,1.14E+01,11.3588
20111202,0.000164547,1.65E+01,16.4547
20111205,6.19E-05,6.19E+00,6.19
20111206,8.86E-05,8.86E+00,8.86
20111207,9.14E-05,9.14E+00,9.14
20111208,0.000146332,1.46E+01,14.6332
20111209,0.000151504,1.52E+01,15.1504
20111212,0.000161023,1.61E+01,16.1023
20111213,0.000318421,3.18E+01,31.8421
20111214,0.000171136,1.71E+01,17.1136
20111215,0.000123538,1.24E+01,12.3538
20111216,0.000145766,1.46E+01,14.5766
20111219,9.63E-05,9.63E+00,9.63
20111220,0.000110529,1.11E+01,11.0529
20111221,0.0001954,1.95E+01,19.54
20111222,8.44E-05,8.44E+00,8.44
20111223,4.38E-05,4.38E+00,4.38
20111227,3.79E-05,3.79E+00,3.79
20111228,5.85E-05,5.85E+00,5.85
20111229,7.39E-05,7.39E+00,7.39
20111230,9.65E-05,9.65E+00,9.65
20120103,6.57E-05,6.57E+00,6.57
20120104,0.000143707,1.44E+01,14.3707
20120105,9.71E-05,9.71E+00,9.71
20120106,9.59E-05,9.59E+00,9.59
20120109,8.57E-05,8.57E+00,8.57
20120110,8.73E-05,8.73E+00,8.73
20120111,7.67E-05,7.67E+00,7.67
20120112,0.000128747,1.29E+01,12.8747
20120113,0.000210647,2.11E+01,21.0647
20120116,4.08E-05,4.08E+00,4.08
20120117,6.35E-05,6.35E+00,6.35
20120118,0.000133045,1.33E+01,13.3045
20120119,7.65E-05,7.65E+00,7.65
20120120,0.000149231,1.49E+01,14.9231
20120123,0.000111327,1.11E+01,11.1327
20120124,0.000104949,1.05E+01,10.4949
20120125,7.37E-05,7.37E+00,7.37
20120126,9.15E-05,9.15E+00,9.15
20120127,7.26E-05,7.26E+00,7.26
20120130,6.02E-05,6.02E+00,6.02
20120131,0.000114934,1.15E+01,11.4934
20120201,8.06E-05,8.06E+00,8.06
20120202,0.000123948,1.24E+01,12.3948
20120203,0.000130241,1.30E+01,13.0241
20120206,0.000131392,1.31E+01,13.1392
20120207,7.63E-05,7.63E+00,7.63
20120208,4.43E-05,4.43E+00,4.43
20120209,7.91E-05,7.91E+00,7.91
20120210,0.000108666,1.09E+01,10.8666
20120213,8.05E-05,8.05E+00,8.05
20120214,6.42E-05,6.42E+00,6.42
20120215,7.99E-05,7.99E+00,7.99
20120216,5.27E-05,5.27E+00,5.27
20120217,3.48E-05,3.48E+00,3.48
20120220,3.78E-05,3.78E+00,3.78
20120221,5.29E-05,5.29E+00,5.29
20120222,4.05E-05,4.05E+00,4.05
20120223,5.25E-05,5.25E+00,5.25
20120224,6.19E-05,6.19E+00,6.19
20120227,5.42E-05,5.42E+00,5.42
20120228,0.00011489,1.15E+01,11.489
20120229,6.56E-05,6.56E+00,6.56
20120301,5.79E-05,5.79E+00,5.79
20120302,4.66E-05,4.66E+00,4.66
20120305,8.88E-05,8.88E+00,8.88
20120306,7.99E-05,7.99E+00,7.99
20120307,5.14E-05,5.14E+00,5.14
20120308,5.45E-05,5.45E+00,5.45
20120309,7.77E-05,7.77E+00,7.77
20120312,5.03E-05,5.03E+00,5.03
20120313,8.19E-05,8.19E+00,8.19
20120314,6.17E-05,6.17E+00,6.17
20120315,8.33E-05,8.33E+00,8.33
20120316,7.21E-05,7.21E+00,7.21
20120319,7.23E-05,7.23E+00,7.23
20120320,0.000117561,1.18E+01,11.7561
20120321,5.53E-05,5.53E+00,5.53
20120322,0.000101629,1.02E+01,10.1629
20120323,0.000701621,7.02E+01,70.1621
20120326,5.20E-05,5.20E+00,5.2
20120327,4.88E-05,4.88E+00,4.88
20120328,6.76E-05,6.76E+00,6.76
20120329,4.48E-05,4.48E+00,4.48
20120330,5.34E-05,5.34E+00,5.34
20120402,6.30E-05,6.30E+00,6.3
20120403,3.11E-05,3.11E+00,3.11
20120404,4.23E-05,4.23E+00,4.23
20120405,4.90E-05,4.90E+00,4.9
20120409,3.46E-05,3.46E+00,3.46
20120410,7.24E-05,7.24E+00,7.24
20120411,5.73E-05,5.73E+00,5.73
20120412,5.42E-05,5.42E+00,5.42
20120413,4.70E-05,4.70E+00,4.7
20120416,4.77E-05,4.77E+00,4.77
20120417,6.59E-05,6.59E+00,6.59
20120418,5.07E-05,5.07E+00,5.07
20120419,5.55E-05,5.55E+00,5.55
20120420,4.55E-05,4.55E+00,4.55
20120423,4.04E-05,4.04E+00,4.04
20120424,3.97E-05,3.97E+00,3.97
20120425,5.71E-05,5.71E+00,5.71
20120426,4.21E-05,4.21E+00,4.21
20120427,3.74E-05,3.74E+00,3.74
20120430,2.50E-05,2.50E+00,2.5
20120501,1.83E-05,1.83E+00,1.83
20120502,2.27E-05,2.27E+00,2.27
20120503,6.47E-05,6.47E+00,6.47
20120504,8.97E-05,8.97E+00,8.97
20120507,0.000105864,1.06E+01,10.5864
20120508,6.73E-05,6.73E+00,6.73
20120509,8.30E-05,8.30E+00,8.3
20120510,7.15E-05,7.15E+00,7.15
20120511,4.41E-05,4.41E+00,4.41
20120514,0.000135518,1.36E+01,13.5518
20120515,0.000101561,1.02E+01,10.1561
20120516,9.69E-05,9.69E+00,9.69
20120517,0.000122463,1.22E+01,12.2463
20120518,5.40E-05,5.40E+00,5.4
20120521,5.99E-05,5.99E+00,5.99
20120522,6.20E-05,6.20E+00,6.2
20120523,4.54E-05,4.54E+00,4.54
20120524,8.56E-05,8.56E+00,8.56
20120525,5.90E-05,5.90E+00,5.9
20120528,3.50E-05,3.50E+00,3.5
20120529,3.83E-05,3.83E+00,3.83
20120530,0.000126679,1.27E+01,12.6679
20120531,9.24E-05,9.24E+00,9.24
20120601,0.000455475,4.55E+01,45.5475
20120604,0.000245366,2.45E+01,24.5366
20120605,0.000217445,2.17E+01,21.7445
20120606,0.000133925,1.34E+01,13.3925
20120607,0.000195136,1.95E+01,19.5136
20120608,0.000144995,1.45E+01,14.4995
20120611,0.000101474,1.01E+01,10.1474
20120612,0.00017512,1.75E+01,17.512
20120613,0.000128217,1.28E+01,12.8217
20120614,0.000111542,1.12E+01,11.1542
20120615,9.86E-05,9.86E+00,9.86
20120618,0.000127774,1.28E+01,12.7774
20120619,0.000126006,1.26E+01,12.6006
20120620,8.87E-05,8.87E+00,8.87
